"Title","Author","ISBN","Link","Image","Curated"
"Unmasking AI: My Mission to Protect What Is Human in a World of Machines","Joy Buolamwini","9780593241837","https://bookshop.org/p/books/unmasking-ai-a-story-of-hope-and-justice-in-a-world-of-algorithms-joy-buolamwini/20010838?ean=9780593241844","https://images-us.bookshop.org/ingram/9780593241844.jpg?height=500&v=v2-3af71f0ecb94b12d8f377e16e7a299df","true"
"Cobalt Red: How the Blood of the Congo Powers Our Lives","Siddharth Kara","9781250322159","https://bookshop.org/p/books/cobalt-red-how-the-blood-of-the-congo-powers-our-lives-siddharth-kara/18411025?ean=9781250322159","https://images-us.bookshop.org/ingram/9781250322159.jpg?height=500&v=v2-d313fec179460fd37e88bda775b0ffb4","true"
"Empire of AI: Dreams and Nightmares in Sam Altman's OpenAI","Karen Hao","9780593657508","https://bookshop.org/p/books/empire-of-ai-dreams-and-nightmares-in-sam-altman-s-openai-karen-hao/22156498?ean=9780593657508","https://images-us.bookshop.org/ingram/9780593657508.jpg?height=500&v=v2-58322673ac904ac76869519a5910af4c","true"
"Alone Together: Why We Expect More from Technology and Less from Each Other","Sherry Turkle","9780465093656","https://bookshop.org/search?keywords=9780465093656","https://images-us.bookshop.org/ingram/9780465093656.jpg?height=500&v=v2","true"
"Breaking the Social Media Prism: How to Make Our Platforms Less Polarizing","Chris Bail","9780691203423","https://bookshop.org/search?keywords=9780691203423","https://images-us.bookshop.org/ingram/9780691203423.jpg?height=500&v=v2","true"
"Amusing Ourselves to Death: Public Discourse in the Age of Show Business","Neil Postman and Andrew Postman","9780143036531","https://bookshop.org/p/books/amusing-ourselves-to-death-public-discourse-in-the-age-of-show-business-neil-postman/6781325?ean=9780143036531","https://images-us.bookshop.org/ingram/9780143036531.jpg?height=500&v=v2-c7d5465cc6e0031b506bae12ee7768bb","true"
"Digital Minimalism: Choosing a Focused Life in a Noisy World","Cal Newport","9780525536512","https://bookshop.org/p/books/digital-minimalism-choosing-a-focused-life-in-a-noisy-world-cal-newport/12081448?ean=9780525536512","https://images-us.bookshop.org/ingram/9780525536512.jpg?height=500&v=v2-e2220c4f0251619e7025bddcce051139","true"
"The Shallows: What the Internet Is Doing to Our Brains","Nicholas Carr","9780393357820","https://bookshop.org/p/books/the-shallows-what-the-internet-is-doing-to-our-brains-nicholas-carr/15563044?ean=9780393357820","https://images-us.bookshop.org/ingram/9780393357820.jpg?height=500&v=v2-8e1c1d03c07d41f894d11e6667bb33bc","true"
"Altered Carbon","Richard K. Morgan","9780345457684","https://bookshop.org/search?keywords=9780345457684","https://images-us.bookshop.org/ingram/9780345457684.jpg?height=500&v=v2","false"
"A Hacker's Mind: How the Powerful Bend Society's Rules, and How to Bend Them Back","Bruce Schneier","9781324074533","https://bookshop.org/search?keywords=9781324074533","https://images-us.bookshop.org/ingram/9781324074533.jpg?height=500&v=v2","false"
"I am a Fugitive from a Georgia Chain Gang!","Robert E. Burns","9781610273763","https://bookshop.org/search?keywords=9781610273763","https://images-us.bookshop.org/ingram/9781610273763.jpg?height=500&v=v2","false"
"Robopocalipsis / Robopocalypse","Daniel H. Wilson","9780307949103","https://bookshop.org/search?keywords=9780307949103","https://images-us.bookshop.org/ingram/9780307949103.jpg?height=500&v=v2","false"
"Irresistible: The Rise of Addictive Technology and the Business of Keeping Us Hooked","Adam Alter","9780735222847","https://bookshop.org/search?keywords=9780735222847","https://images-us.bookshop.org/ingram/9780735222847.jpg?height=500&v=v2","false"
"The Machine Question: Critical Perspectives on AI, Robots, and Ethics","David J. Gunkel","9780262304511","https://bookshop.org/search?keywords=9780262304511","https://images-us.bookshop.org/ingram/9780262304511.jpg?height=500&v=v2","false"
"Klara and the Sun: A GMA Book Club Pick","Kazuo Ishiguro","9780593318188","https://bookshop.org/search?keywords=9780593318188","https://images-us.bookshop.org/ingram/9780593318188.jpg?height=500&v=v2","false"
"When Breath Becomes Air","Paul Kalanithi","9780812988413","https://bookshop.org/search?keywords=9780812988413","https://images-us.bookshop.org/ingram/9780812988413.jpg?height=500&v=v2","false"
"1984","George Orwell","9780452262935","https://bookshop.org/search?keywords=9780452262935","https://images-us.bookshop.org/ingram/9780452262935.jpg?height=500&v=v2","false"
